satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Departments ,salary
0.65,0.96,5,226,2,1,0,5,2
0.88,0.8,3,166,2,0,0,0,1
0.69,0.98,3,214,2,0,0,7,1
0.41,0.47,2,154,3,0,0,7,1
0.87,0.76,5,254,2,1,0,3,1
0.72,0.88,3,224,3,0,0,9,1
0.98,0.78,4,155,3,1,0,9,1
0.17,0.76,4,280,5,0,0,3,1
0.2,0.98,4,166,4,1,0,7,2
0.16,0.9,5,258,3,0,0,9,2
0.77,0.91,5,236,5,0,0,5,2
0.67,0.71,4,159,2,1,0,9,2
0.54,0.78,3,156,7,0,0,7,2
0.77,0.88,2,169,3,0,0,9,2
0.74,0.99,2,277,3,0,0,0,2
0.59,0.74,3,240,3,0,0,0,1
0.73,0.9,3,274,2,0,0,8,0
0.49,1.0,2,125,4,1,0,7,1
0.92,0.98,3,257,3,0,1,7,2
0.76,0.49,5,243,3,0,0,9,1
0.51,0.64,3,267,2,0,0,7,1
0.43,0.57,2,157,3,0,0,7,1
0.11,0.95,6,279,4,0,0,9,1
0.75,0.92,3,199,3,1,0,4,1
0.45,0.57,2,158,3,0,0,7,1
0.85,0.96,4,217,5,0,0,9,1
0.42,0.48,2,143,3,0,0,7,1
0.64,0.95,4,199,4,0,0,2,2
0.65,0.95,2,180,2,0,0,6,1
0.21,0.37,4,129,4,0,0,6,2
0.82,1.0,4,273,6,0,0,8,2
0.53,0.92,3,207,4,1,0,7,1
0.8,0.54,3,222,4,0,0,9,1
0.38,0.46,2,137,3,0,0,9,1
0.61,0.81,5,136,3,0,0,3,1
0.96,0.9,4,201,3,0,0,7,1
0.83,0.99,4,223,5,0,0,2,2
0.1,0.87,6,307,4,0,0,6,0
0.94,0.78,4,211,3,0,0,8,2
0.88,0.82,3,244,3,0,0,7,1
0.12,0.7,5,277,3,0,0,8,2
0.63,0.92,2,198,2,0,0,3,1
0.47,0.46,2,152,2,0,0,0,2
0.7,0.53,3,215,7,1,0,9,2
0.27,0.64,2,188,3,0,0,3,1
0.71,0.97,3,173,2,1,0,5,2
0.39,0.5,2,147,3,0,0,5,1
0.24,0.62,6,225,6,0,0,7,1
0.1,0.97,6,247,4,0,0,4,2
0.86,0.84,5,254,5,0,0,6,2
0.77,0.77,3,219,2,0,0,7,2
0.37,0.53,2,147,3,0,0,1,1
0.75,0.78,2,251,6,0,0,9,2
0.15,0.75,3,150,4,0,1,2,2
0.98,0.99,3,253,4,0,0,7,2
0.9,0.77,3,156,3,0,0,7,2
0.81,0.53,4,242,3,0,0,8,2
0.82,0.9,4,232,3,0,0,1,1
0.77,1.0,4,232,5,0,0,9,2
0.77,0.65,4,164,2,0,0,7,2
0.41,0.96,6,171,5,1,0,8,2
0.79,0.92,5,254,6,0,0,7,1
0.55,0.68,3,178,3,1,0,9,0
0.58,0.69,4,165,3,0,0,9,1
1.0,0.68,3,132,2,0,0,7,2
0.42,0.52,2,151,3,0,0,7,2
0.85,0.56,3,199,4,0,0,7,1
0.18,0.62,3,165,4,0,0,9,2
0.79,0.6,4,161,3,0,0,9,0
0.24,0.62,5,199,4,0,0,7,1
0.89,0.55,4,159,2,0,0,7,2
0.41,0.7,2,151,3,1,0,2,1
0.66,0.59,5,262,2,0,0,9,2
0.66,0.56,2,104,3,1,0,8,2
0.76,0.8,2,219,4,1,0,7,1
0.45,0.55,2,148,3,0,0,7,1
0.85,0.89,4,177,3,0,0,9,2
0.67,0.84,4,197,2,0,0,1,1
0.59,0.52,2,149,3,0,0,2,2
0.97,0.6,3,162,3,0,0,9,2
0.96,0.85,4,173,3,0,0,5,0
0.55,0.77,3,237,2,0,0,3,1
0.83,0.94,4,243,3,0,0,9,1
0.54,0.49,4,152,3,1,0,7,2
0.96,0.67,5,170,3,0,0,5,0
0.75,1.0,4,216,6,0,0,9,1
0.89,0.71,5,194,3,0,0,3,1
0.95,0.74,5,243,6,0,0,4,2
0.67,0.71,4,173,3,0,0,8,0
0.53,0.66,3,109,2,0,0,1,2
0.89,0.56,4,159,3,0,0,6,2
0.74,0.63,3,180,3,0,0,4,0
0.84,0.68,4,179,3,0,0,9,0
0.44,0.54,2,151,3,0,0,4,1
0.33,0.4,6,214,6,0,0,5,2
0.99,0.92,4,265,4,1,0,6,2
0.72,0.71,3,132,2,1,0,9,1
0.92,0.93,5,240,5,0,0,7,1
0.79,0.61,5,96,4,0,0,5,2
0.48,0.59,2,179,2,0,0,9,1
0.76,0.83,5,227,5,0,0,7,1
0.66,0.99,5,244,3,0,0,9,2
0.63,0.83,6,242,5,0,0,2,1
0.38,0.52,2,153,3,0,0,8,1
0.55,0.87,3,215,2,0,0,1,2
0.99,0.79,4,192,3,0,0,3,1
0.76,0.92,4,154,3,0,0,8,2
0.5,0.92,4,266,7,0,0,6,2
0.56,0.66,4,264,3,0,0,7,1
0.1,0.93,6,253,4,0,0,0,2
0.47,0.9,3,101,2,1,0,5,2
0.37,0.41,6,101,3,0,0,6,1
0.82,0.71,2,209,5,0,1,5,2
0.5,0.96,5,229,4,0,0,5,2
0.63,0.93,5,163,3,0,0,3,2
0.93,0.95,5,176,6,0,1,2,2
0.1,0.97,6,247,4,0,0,4,2
0.24,0.57,5,232,3,0,0,7,2
0.47,0.47,4,191,3,0,0,9,2
0.37,0.54,2,132,3,0,0,9,1
0.53,0.5,4,185,3,0,0,3,1
0.64,0.64,3,263,3,0,0,5,0
0.82,0.58,5,263,8,0,0,0,2
0.79,0.86,5,270,2,0,0,4,1
0.78,0.98,4,260,3,0,0,9,1
0.57,0.82,4,269,2,0,0,9,2
0.31,0.92,4,133,6,0,0,8,2
0.94,0.8,4,266,3,1,0,8,2
0.43,0.57,2,135,3,0,0,8,1
0.4,0.46,2,160,3,0,0,9,1
0.89,0.48,3,178,5,0,0,2,1
0.36,0.39,3,98,3,0,0,9,1
0.44,0.45,2,124,3,0,0,7,1
0.84,0.86,5,240,5,0,0,2,2
0.78,0.56,3,271,4,0,0,5,2
0.82,0.82,3,148,3,0,0,0,1
0.65,0.91,3,207,3,0,0,7,1
0.4,0.47,2,151,3,0,0,7,2
0.14,0.9,4,198,4,0,0,9,2
0.63,0.5,5,246,2,0,0,3,1
0.09,0.77,5,275,4,0,0,6,2
0.57,0.75,4,249,10,0,0,6,2
0.96,0.93,3,156,3,0,0,7,1
0.11,0.83,6,306,4,0,0,8,1
0.52,0.75,4,266,3,0,0,5,2
0.75,0.9,5,186,4,0,0,6,1
0.16,0.63,5,266,7,0,0,0,1
0.4,0.46,2,128,3,0,0,4,1
0.76,0.82,4,170,6,0,0,7,2
0.82,0.48,4,149,6,0,0,6,0
0.32,0.97,6,272,2,0,0,7,1
0.66,0.58,4,244,3,0,0,7,2
0.37,0.57,2,130,3,0,0,7,1
0.87,0.91,5,228,5,0,0,8,1
0.56,0.62,3,154,2,0,0,7,1
0.52,0.54,5,247,4,0,0,9,0
0.46,0.49,2,138,3,0,0,8,1
1.0,0.73,5,142,4,0,0,0,2
0.4,0.51,2,139,3,0,0,8,1
0.34,0.46,3,155,10,0,0,6,2
0.69,0.92,5,220,2,0,0,6,2
0.69,0.52,5,219,3,0,0,7,1
0.45,0.56,2,143,3,0,0,6,1
0.43,0.47,2,128,3,0,0,0,1
0.67,0.97,4,196,3,0,0,8,2
0.97,0.89,4,193,3,0,0,9,1
0.52,0.88,3,179,2,1,0,8,1
0.09,0.92,7,301,4,0,0,5,1
0.86,0.69,5,157,4,0,0,8,1
0.81,0.91,4,229,5,0,0,8,1
0.14,0.62,4,158,4,1,0,9,1
0.53,0.52,3,233,4,0,0,0,1
0.65,0.57,3,137,4,1,0,7,0
0.81,0.58,3,243,4,0,0,5,0
0.23,0.73,5,197,4,1,0,1,1
0.98,0.7,3,255,2,1,0,5,1
0.64,0.66,3,218,3,0,0,9,1
0.43,0.51,2,155,3,0,0,9,2
0.1,0.95,7,296,4,0,0,9,1
0.84,0.51,4,173,2,0,0,9,1
0.82,0.88,4,149,2,0,0,7,1
0.81,0.77,3,221,2,0,0,9,1
0.53,0.89,3,167,2,0,0,6,1
0.43,0.53,2,152,3,0,0,7,2
0.5,0.69,4,177,2,0,0,8,1
0.64,0.53,3,281,3,0,0,7,0
0.73,0.6,3,145,6,1,0,9,2
0.44,0.52,2,149,3,0,0,5,1
0.45,0.5,2,147,3,0,0,7,1
0.37,0.47,2,152,3,0,0,6,1
0.78,0.98,5,263,6,0,0,7,1
0.37,0.54,2,149,3,0,0,8,1
0.52,0.65,4,264,3,0,0,6,2
0.87,0.64,3,187,2,0,0,9,2
0.67,0.6,3,157,3,0,0,5,1
0.68,0.49,3,178,3,1,0,1,1
0.25,0.89,4,154,10,0,0,4,0
0.11,0.94,6,286,4,0,0,0,2
0.62,0.75,5,165,4,0,0,7,2
0.64,0.83,4,179,3,0,0,3,1
0.4,0.46,2,146,3,0,0,7,1
0.83,0.91,3,155,3,0,0,1,1
0.57,0.61,3,167,2,1,0,0,1
0.83,0.99,5,258,5,0,0,8,0
0.47,0.53,3,111,4,0,0,1,2
0.62,0.5,4,156,2,0,0,8,2
0.51,0.39,5,132,6,1,1,9,1
0.93,0.99,4,136,4,0,0,3,1
0.89,0.58,3,167,3,0,0,8,2
0.62,0.68,3,226,3,0,0,9,2
0.64,0.49,3,241,3,0,0,3,2
0.87,0.59,5,261,3,0,0,0,2
0.52,0.62,5,239,2,0,0,7,2
0.38,0.5,2,153,3,0,0,8,2
0.99,0.55,3,170,3,0,0,5,2
0.94,0.7,6,217,5,0,0,7,1
0.82,0.91,5,271,2,0,1,1,2
0.48,0.49,4,242,2,1,0,8,2
0.77,0.49,2,286,7,0,0,5,1
0.11,0.8,6,256,4,0,0,0,1
0.66,0.54,5,203,2,0,0,7,2
0.66,0.56,3,169,2,1,0,8,2
0.5,0.79,3,186,3,0,0,7,0
0.49,0.66,5,194,3,0,0,7,2
0.37,0.82,3,199,5,0,0,4,2
0.72,0.83,3,132,2,0,0,9,2
0.56,0.84,5,154,2,1,0,8,1
0.83,0.81,3,242,6,0,0,7,1
0.94,0.87,4,157,3,0,0,9,2
0.66,0.95,5,192,7,0,0,7,2
0.45,0.55,2,148,3,0,0,7,1
0.65,0.71,4,186,2,0,0,0,1
0.8,0.73,5,135,3,0,0,8,2
0.5,0.75,3,204,2,0,0,9,0
0.52,0.58,3,203,2,0,0,1,2
0.1,0.82,7,265,4,0,0,1,1
0.73,0.6,4,224,3,0,0,7,2
0.49,0.95,4,156,2,0,0,9,2
0.52,0.83,4,210,2,0,0,6,2
0.9,0.86,5,254,5,0,0,7,0
0.37,0.52,2,158,3,0,0,8,1
0.3,0.76,5,224,2,0,0,6,2
0.43,0.57,2,159,3,1,0,9,1
